x,y
0,0.9999987361386
2,0.915162039670082
4,0.775852916865725
6,0.676797779648293
8,0.591727268820792
10,0.508318735734164
12,0.433100024518911
14,0.362658709395293
18,0.329166382297852
24,0.287212503128057
32,0.250832252731836
40,0.229675212897453
48,0.217156665731409
